Position: x = 0.00240719, y = 0.00485368
Position: x = 0.168427, y = 0.00322332
Position: x = 0.188391, y = 0.00316249
Position: x = 0.208506, y = 0.00323453
Position: x = 0.228534, y = 0.00336275
Position: x = 0.248623, y = 0.00351428
Position: x = 0.268647, y = 0.00367518
Position: x = 0.288784, y = 0.00398081
Position: x = 0.308929, y = 0.0043063
Position: x = 0.329119, y = 0.00456559
Position: x = 0.349242, y = 0.00472326
Position: x = 0.369185, y = 0.00478774
Position: x = 0.389196, y = 0.00492573
Position: x = 0.409234, y = 0.00511633
Position: x = 0.429225, y = 0.00535386
Position: x = 0.449342, y = 0.00592277
Position: x = 0.469407, y = 0.00661872
Position: x = 0.489306, y = 0.007241
Position: x = 0.509347, y = 0.00819441
Position: x = 0.529265, y = 0.00920039
Position: x = 0.549147, y = 0.0102695
Position: x = 0.569116, y = 0.0115222
Position: x = 0.589077, y = 0.0128728
Position: x = 0.609127, y = 0.0143863
Position: x = 0.629075, y = 0.0158898
Position: x = 0.649046, y = 0.0174012
Position: x = 0.668955, y = 0.0188923
Position: x = 0.688866, y = 0.020417
Position: x = 0.708977, y = 0.0221587
Position: x = 0.729042, y = 0.0238779
Position: x = 0.74895, y = 0.0255108
Position: x = 0.768946, y = 0.0272036
Position: x = 0.788968, y = 0.0287996
Position: x = 0.80896, y = 0.0303473
Position: x = 0.828996, y = 0.0317779
Position: x = 0.849097, y = 0.0331889
Position: x = 0.869183, y = 0.0345282
Position: x = 0.889086, y = 0.0357347
Position: x = 0.909088, y = 0.0370067
Position: x = 0.929038, y = 0.0382468
Position: x = 0.949054, y = 0.0395609
Position: x = 0.969212, y = 0.0409406
Position: x = 0.989337, y = 0.0422223
Position: x = 1.00937, y = 0.0435337
Position: x = 1.0295, y = 0.044899
Position: x = 1.04963, y = 0.0463201
Position: x = 1.0699, y = 0.0477331
Position: x = 1.09024, y = 0.0489148
Position: x = 1.11051, y = 0.0500051
Position: x = 1.1307, y = 0.0509889
Position: x = 1.151, y = 0.0516147
Position: x = 1.17121, y = 0.0520553
Position: x = 1.19154, y = 0.052049
Position: x = 1.21174, y = 0.0518006
Position: x = 1.23207, y = 0.050973
Position: x = 1.25208, y = 0.0500109
Position: x = 1.27221, y = 0.0488142
Position: x = 1.29214, y = 0.0477925
Position: x = 1.31219, y = 0.046633
Position: x = 1.33221, y = 0.0454941
Position: x = 1.35224, y = 0.0442937
Position: x = 1.37225, y = 0.0430502
Position: x = 1.39223, y = 0.0417784
Position: x = 1.41217, y = 0.040511
Position: x = 1.43212, y = 0.039235
Position: x = 1.45211, y = 0.0379473
Position: x = 1.47202, y = 0.0368362
Position: x = 1.49213, y = 0.0356189
Position: x = 1.51205, y = 0.0345706
Position: x = 1.53214, y = 0.0334316
Position: x = 1.55208, y = 0.0324066
Position: x = 1.57211, y = 0.0313515
Position: x = 1.59208, y = 0.0302037
Position: x = 1.61222, y = 0.028993
Position: x = 1.6323, y = 0.0277419
Position: x = 1.65238, y = 0.0265713
Position: x = 1.67255, y = 0.025512
Position: x = 1.6927, y = 0.0245686
Position: x = 1.71272, y = 0.0236556
Position: x = 1.73277, y = 0.0229914
Position: x = 1.75279, y = 0.022558
Position: x = 1.77265, y = 0.0222409
Position: x = 1.79267, y = 0.0223182
Position: x = 1.81262, y = 0.0225901
Position: x = 1.83261, y = 0.023047
Position: x = 1.85257, y = 0.0236226
Position: x = 1.87267, y = 0.0245603
Position: x = 1.89269, y = 0.0254921
Position: x = 1.91259, y = 0.0263458
Position: x = 1.93265, y = 0.0273699
Position: x = 1.95263, y = 0.028404
Position: x = 1.97259, y = 0.029425
Position: x = 1.99265, y = 0.0304648
Position: x = 2.01272, y = 0.0315401
Position: x = 2.0329, y = 0.0326436
Position: x = 2.0531, y = 0.0337803
Position: x = 2.07319, y = 0.0350191
Position: x = 2.09341, y = 0.0363167
Position: x = 2.1136, y = 0.0375419
Position: x = 2.13377, y = 0.0386458
Position: x = 2.15403, y = 0.0394403
Position: x = 2.17417, y = 0.0401216
Position: x = 2.19452, y = 0.0402639
Position: x = 2.21466, y = 0.0403363
Position: x = 2.23502, y = 0.039819
Position: x = 2.25517, y = 0.0391167
Position: x = 2.27538, y = 0.0380502
Position: x = 2.29554, y = 0.0366548
Position: x = 2.31573, y = 0.034848
Position: x = 2.3358, y = 0.0328301
Position: x = 2.35594, y = 0.0303038
Position: x = 2.37586, y = 0.0276979
Position: x = 2.39583, y = 0.0247364
Position: x = 2.41569, y = 0.0215846
Position: x = 2.43553, y = 0.018164
Position: x = 2.45535, y = 0.0145147
Position: x = 2.47497, y = 0.0108304
Position: x = 2.49477, y = 0.00678591
Position: x = 2.51426, y = 0.00288328
Position: x = 2.53392, y = -0.00132476
Position: x = 2.55353, y = -0.00557503
Position: x = 2.57304, y = -0.00979327
Position: x = 2.59269, y = -0.0141906
Position: x = 2.61212, y = -0.0183594
Position: x = 2.63168, y = -0.0226315
Position: x = 2.65118, y = -0.026794
Position: x = 2.67081, y = -0.0309793
Position: x = 2.69038, y = -0.0349889
Position: x = 2.70984, y = -0.0387426
Position: x = 2.72952, y = -0.0425141
Position: x = 2.749, y = -0.0459773
Position: x = 2.76872, y = -0.0493233
Position: x = 2.78843, y = -0.0524053
Position: x = 2.80817, y = -0.055291
Position: x = 2.82796, y = -0.0580344
Position: x = 2.8478, y = -0.0604832
Position: x = 2.86761, y = -0.0627656
Position: x = 2.88751, y = -0.0648122
Position: x = 2.90743, y = -0.0666915
Position: x = 2.92743, y = -0.0684669
Position: x = 2.94739, y = -0.070102
Position: x = 2.96725, y = -0.0715591
Position: x = 2.98732, y = -0.0731355
Position: x = 3.00717, y = -0.0744647
Position: x = 3.02721, y = -0.0759815
Position: x = 3.04725, y = -0.0775239
Position: x = 3.06732, y = -0.0791351
Position: x = 3.08728, y = -0.0807264
Position: x = 3.10732, y = -0.0825124
Position: x = 3.12724, y = -0.0843262
Position: x = 3.14742, y = -0.0865725
Position: x = 3.16748, y = -0.0889112
Position: x = 3.18746, y = -0.0914178
Position: x = 3.20751, y = -0.0942917
Position: x = 3.22738, y = -0.0972819
Position: x = 3.24736, y = -0.100721
Position: x = 3.26708, y = -0.10426
Position: x = 3.2869, y = -0.108311
Position: x = 3.3067, y = -0.112809
Position: x = 3.32632, y = -0.11761
Position: x = 3.34597, y = -0.122988
Position: x = 3.36532, y = -0.128616
Position: x = 3.38461, y = -0.134776
Position: x = 3.40374, y = -0.14136
Position: x = 3.42265, y = -0.148326
Position: x = 3.44156, y = -0.155754
Position: x = 3.46019, y = -0.163384
Position: x = 3.4788, y = -0.171467
Position: x = 3.4971, y = -0.179744
Position: x = 3.51528, y = -0.188366
Position: x = 3.5334, y = -0.197271
Position: x = 3.55131, y = -0.206306
Position: x = 3.56923, y = -0.215686
Position: x = 3.58687, y = -0.225134
Position: x = 3.60444, y = -0.234838
Position: x = 3.62185, y = -0.244685
Position: x = 3.63917, y = -0.254711
Position: x = 3.65643, y = -0.264912
Position: x = 3.67358, y = -0.275186
Position: x = 3.69068, y = -0.285561
Position: x = 3.70769, y = -0.295963
Position: x = 3.72464, y = -0.306375
Position: x = 3.74158, y = -0.316838
Position: x = 3.75859, y = -0.327347
Position: x = 3.77549, y = -0.337751
Position: x = 3.79253, y = -0.348308
Position: x = 3.80941, y = -0.358783
Position: x = 3.82637, y = -0.369416
Position: x = 3.8432, y = -0.380005
Position: x = 3.86005, y = -0.390704
Position: x = 3.87683, y = -0.40146
Position: x = 3.89367, y = -0.412463
Position: x = 3.91025, y = -0.423414
Position: x = 3.92688, y = -0.434669
Position: x = 3.94331, y = -0.445964
Position: x = 3.95972, y = -0.457468
Position: x = 3.97601, y = -0.469012
Position: x = 3.99226, y = -0.480654
Position: x = 4.00833, y = -0.492204
Position: x = 4.02458, y = -0.503957
Position: x = 4.04067, y = -0.515537
Position: x = 4.05681, y = -0.52719
Position: x = 4.07295, y = -0.53885
Position: x = 4.08906, y = -0.550492
Position: x = 4.10522, y = -0.562148
Position: x = 4.12136, y = -0.573729
Position: x = 4.13762, y = -0.585334
Position: x = 4.15385, y = -0.596821
Position: x = 4.17017, y = -0.608318
Position: x = 4.18636, y = -0.619655
Position: x = 4.20269, y = -0.631132
Position: x = 4.219, y = -0.642627
Position: x = 4.23531, y = -0.654197
Position: x = 4.2515, y = -0.665757
Position: x = 4.26776, y = -0.677548
Position: x = 4.28377, y = -0.689268
Position: x = 4.29978, y = -0.701216
Position: x = 4.31573, y = -0.713366
Position: x = 4.33155, y = -0.725692
Position: x = 4.34723, y = -0.738203
Position: x = 4.36278, y = -0.750968
Position: x = 4.37813, y = -0.763958
Position: x = 4.39321, y = -0.777136
Position: x = 4.40812, y = -0.790625
Position: x = 4.42269, y = -0.804317
Position: x = 4.4371, y = -0.818416
Position: x = 4.45119, y = -0.832802
Position: x = 4.46492, y = -0.847463
Position: x = 4.47841, y = -0.862572
Position: x = 4.4915, y = -0.878014
Position: x = 4.50414, y = -0.893761
Position: x = 4.5163, y = -0.909807
Position: x = 4.52813, y = -0.92636
Position: x = 4.53936, y = -0.943161
Position: x = 4.55, y = -0.960265
Position: x = 4.56017, y = -0.977804
Position: x = 4.56987, y = -0.995717
Position: x = 4.57925, y = -1.01406
Position: x = 4.58805, y = -1.0327
Position: x = 4.5962, y = -1.05163
Position: x = 4.60387, y = -1.07079
Position: x = 4.61069, y = -1.09033
Position: x = 4.61663, y = -1.11017
Position: x = 4.62199, y = -1.13003
Position: x = 4.62642, y = -1.15019
Position: x = 4.6303, y = -1.17026
Position: x = 4.63303, y = -1.19072
Position: x = 4.63529, y = -1.21097
Position: x = 4.63662, y = -1.23142
Position: x = 4.63714, y = -1.25191
Position: x = 4.63683, y = -1.27242
Position: x = 4.6359, y = -1.29267
Position: x = 4.63424, y = -1.31303
Position: x = 4.63227, y = -1.33307
Position: x = 4.6294, y = -1.35335
Position: x = 4.62599, y = -1.3735
Position: x = 4.62217, y = -1.39337
Position: x = 4.61774, y = -1.41329
Position: x = 4.61306, y = -1.43293
Position: x = 4.60774, y = -1.4526
Position: x = 4.60223, y = -1.47191
Position: x = 4.59609, y = -1.49122
Position: x = 4.58949, y = -1.51043
Position: x = 4.58255, y = -1.52941
Position: x = 4.57507, y = -1.54836
Position: x = 4.56734, y = -1.56694
Position: x = 4.55915, y = -1.58543
Position: x = 4.55064, y = -1.60374
Position: x = 4.5418, y = -1.62187
Position: x = 4.53249, y = -1.63995
Position: x = 4.52299, y = -1.65764
Position: x = 4.51319, y = -1.67527
Position: x = 4.50347, y = -1.69269
Position: x = 4.49361, y = -1.71016
Position: x = 4.48368, y = -1.72761
Position: x = 4.47386, y = -1.74486
Position: x = 4.46385, y = -1.76223
Position: x = 4.45381, y = -1.77946
Position: x = 4.44361, y = -1.7967
Position: x = 4.43336, y = -1.81382
Position: x = 4.42299, y = -1.83087
Position: x = 4.41269, y = -1.84779
Position: x = 4.40217, y = -1.86489
Position: x = 4.3917, y = -1.88188
Position: x = 4.38112, y = -1.89892
Position: x = 4.37066, y = -1.9158
Position: x = 4.36011, y = -1.93274
Position: x = 4.34968, y = -1.94957
Position: x = 4.33909, y = -1.96657
Position: x = 4.32862, y = -1.98344
Position: x = 4.31804, y = -2.00044
Position: x = 4.30755, y = -2.01732
Position: x = 4.29697, y = -2.03423
Position: x = 4.28635, y = -2.05111
Position: x = 4.27568, y = -2.06796
Position: x = 4.26503, y = -2.08474
Position: x = 4.25427, y = -2.10157
Position: x = 4.24356, y = -2.11832
Position: x = 4.23283, y = -2.13511
Position: x = 4.22224, y = -2.15181
Position: x = 4.21159, y = -2.16865
Position: x = 4.20097, y = -2.18557
Position: x = 4.19046, y = -2.20245
Position: x = 4.17987, y = -2.21943
Position: x = 4.16938, y = -2.2363
Position: x = 4.1589, y = -2.25315
Position: x = 4.14833, y = -2.27007
Position: x = 4.13771, y = -2.28701
Position: x = 4.12712, y = -2.30386
Position: x = 4.11638, y = -2.32076
Position: x = 4.10569, y = -2.3375
Position: x = 4.09487, y = -2.35434
Position: x = 4.08419, y = -2.37101
Position: x = 4.07336, y = -2.38775
Position: x = 4.06241, y = -2.40453
Position: x = 4.05143, y = -2.42126
Position: x = 4.04052, y = -2.43785
Position: x = 4.02949, y = -2.45456
Position: x = 4.01869, y = -2.47106
Position: x = 4.00775, y = -2.48775
Position: x = 3.99697, y = -2.50438
Position: x = 3.98616, y = -2.52117
Position: x = 3.97545, y = -2.53798
Position: x = 3.96479, y = -2.5548
Position: x = 3.9542, y = -2.57157
Position: x = 3.94352, y = -2.58842
Position: x = 3.933, y = -2.60513
Position: x = 3.92228, y = -2.62205
Position: x = 3.91163, y = -2.63892
Position: x = 3.90105, y = -2.65575
Position: x = 3.89051, y = -2.67256
Position: x = 3.87977, y = -2.68955
Position: x = 3.86915, y = -2.70635
Position: x = 3.85836, y = -2.72323
Position: x = 3.84756, y = -2.73997
Position: x = 3.83658, y = -2.75675
Position: x = 3.82563, y = -2.7734
Position: x = 3.81464, y = -2.79001
Position: x = 3.80371, y = -2.80652
Position: x = 3.79264, y = -2.82316
Position: x = 3.78174, y = -2.83967
Position: x = 3.7708, y = -2.85629
Position: x = 3.75997, y = -2.87291
Position: x = 3.74919, y = -2.88962
Position: x = 3.73855, y = -2.90637
Position: x = 3.72796, y = -2.92327
Position: x = 3.71774, y = -2.94005
Position: x = 3.7075, y = -2.95713
Position: x = 3.69749, y = -2.97431
Position: x = 3.6878, y = -2.99152
Position: x = 3.67834, y = -3.0089
Position: x = 3.6692, y = -3.02639
Position: x = 3.66028, y = -3.04408
Position: x = 3.65176, y = -3.06179
Position: x = 3.64339, y = -3.07978
Position: x = 3.63521, y = -3.0979
Position: x = 3.62725, y = -3.11612
Position: x = 3.61951, y = -3.13444
Position: x = 3.61206, y = -3.15275
Position: x = 3.60472, y = -3.1712
Position: x = 3.59754, y = -3.18971
Position: x = 3.59039, y = -3.20836
Position: x = 3.58338, y = -3.22701
Position: x = 3.57641, y = -3.24575
Position: x = 3.56949, y = -3.26449
Position: x = 3.56263, y = -3.28322
Position: x = 3.55571, y = -3.30201
Position: x = 3.54877, y = -3.32078
Position: x = 3.54177, y = -3.33955
Position: x = 3.53473, y = -3.35827
Position: x = 3.52762, y = -3.37694
Position: x = 3.52036, y = -3.39559
Position: x = 3.51294, y = -3.41419
Position: x = 3.50528, y = -3.4328
Position: x = 3.49747, y = -3.45127
Position: x = 3.48933, y = -3.46976
Position: x = 3.48104, y = -3.48806
Position: x = 3.47242, y = -3.50629
Position: x = 3.46357, y = -3.52432
Position: x = 3.45441, y = -3.5422
Position: x = 3.44487, y = -3.55995
Position: x = 3.43507, y = -3.57743
Position: x = 3.42473, y = -3.59487
Position: x = 3.4141, y = -3.61197
Position: x = 3.40305, y = -3.62882
Position: x = 3.39158, y = -3.6454
Position: x = 3.37963, y = -3.6617
Position: x = 3.36728, y = -3.67762
Position: x = 3.35449, y = -3.69316
Position: x = 3.34108, y = -3.70849
Position: x = 3.32738, y = -3.72325
Position: x = 3.31322, y = -3.7377
Position: x = 3.29882, y = -3.75172
Position: x = 3.28411, y = -3.76538
Position: x = 3.26906, y = -3.7787
Position: x = 3.25364, y = -3.79173
Position: x = 3.23807, y = -3.80429
Position: x = 3.22218, y = -3.81661
Position: x = 3.20601, y = -3.82865
Position: x = 3.18955, y = -3.8404
Position: x = 3.17305, y = -3.85165
Position: x = 3.1562, y = -3.86266
Position: x = 3.13922, y = -3.87334
Position: x = 3.12213, y = -3.88371
Position: x = 3.10468, y = -3.89399
Position: x = 3.08717, y = -3.90387
Position: x = 3.06961, y = -3.91345
Position: x = 3.05178, y = -3.92286
Position: x = 3.0339, y = -3.93198
Position: x = 3.01597, y = -3.94071
Position: x = 2.99794, y = -3.94938
Position: x = 2.97988, y = -3.95802
Position: x = 2.96186, y = -3.96657
Position: x = 2.94386, y = -3.97507
Position: x = 2.92582, y = -3.98356
Position: x = 2.90779, y = -3.99203
Position: x = 2.8897, y = -4.00057
Position: x = 2.87154, y = -4.00918
Position: x = 2.85356, y = -4.01764
Position: x = 2.83552, y = -4.02616
Position: x = 2.81749, y = -4.03467
Position: x = 2.79954, y = -4.04314
Position: x = 2.78152, y = -4.05171
Position: x = 2.76349, y = -4.0603
Position: x = 2.74539, y = -4.06896
Position: x = 2.72745, y = -4.0775
Position: x = 2.70953, y = -4.08612
Position: x = 2.69172, y = -4.09475
Position: x = 2.6739, y = -4.10356
Position: x = 2.65602, y = -4.1126
Position: x = 2.63822, y = -4.12171
Position: x = 2.62056, y = -4.13077
Position: x = 2.60295, y = -4.13989
Position: x = 2.58531, y = -4.14908
Position: x = 2.56769, y = -4.15828
Position: x = 2.55005, y = -4.16751
Position: x = 2.53229, y = -4.17688
Position: x = 2.51455, y = -4.18623
Position: x = 2.49699, y = -4.19542
Position: x = 2.47941, y = -4.20465
Position: x = 2.46187, y = -4.21391
Position: x = 2.44422, y = -4.22336
Position: x = 2.42666, y = -4.23286
Position: x = 2.40923, y = -4.24233
Position: x = 2.39186, y = -4.25196
Position: x = 2.37457, y = -4.26168
Position: x = 2.35745, y = -4.2715
Position: x = 2.34036, y = -4.2816
Position: x = 2.32339, y = -4.29189
Position: x = 2.30655, y = -4.30236
Position: x = 2.28979, y = -4.31299
Position: x = 2.27317, y = -4.32377
Position: x = 2.25661, y = -4.3347
Position: x = 2.24014, y = -4.34574
Position: x = 2.22366, y = -4.3569
Position: x = 2.20717, y = -4.36818
Position: x = 2.19071, y = -4.37947
Position: x = 2.17434, y = -4.39073
Position: x = 2.15793, y = -4.402
Position: x = 2.14152, y = -4.41328
Position: x = 2.1252, y = -4.42453
Position: x = 2.1089, y = -4.43584
Position: x = 2.09263, y = -4.44722
Position: x = 2.07632, y = -4.4588
Position: x = 2.0602, y = -4.47029
Position: x = 2.04409, y = -4.48188
Position: x = 2.028, y = -4.49351
Position: x = 2.0119, y = -4.50518
Position: x = 1.99567, y = -4.51696
Position: x = 1.97944, y = -4.52867
Position: x = 1.96324, y = -4.54027
Position: x = 1.94691, y = -4.55186
Position: x = 1.93058, y = -4.56327
Position: x = 1.91422, y = -4.57454
Position: x = 1.89778, y = -4.58564
Position: x = 1.88099, y = -4.59683
Position: x = 1.86407, y = -4.60782
Position: x = 1.84712, y = -4.61849
Position: x = 1.83002, y = -4.62891
Position: x = 1.81273, y = -4.63909
Position: x = 1.79525, y = -4.64902
Position: x = 1.77757, y = -4.65867
Position: x = 1.75962, y = -4.66802
Position: x = 1.74173, y = -4.67696
Position: x = 1.72367, y = -4.68571
Position: x = 1.70555, y = -4.69425
Position: x = 1.68736, y = -4.70255
Position: x = 1.66903, y = -4.7107
Position: x = 1.65061, y = -4.71867
Position: x = 1.63205, y = -4.72653
Position: x = 1.61358, y = -4.73415
Position: x = 1.59499, y = -4.74166
Position: x = 1.57648, y = -4.74899
Position: x = 1.55788, y = -4.75632
Position: x = 1.53917, y = -4.76367
Position: x = 1.52059, y = -4.77087
Position: x = 1.50194, y = -4.77815
Position: x = 1.48338, y = -4.78536
Position: x = 1.46493, y = -4.79256
Position: x = 1.44641, y = -4.79995
Position: x = 1.42794, y = -4.80744
Position: x = 1.40946, y = -4.8151
Position: x = 1.39117, y = -4.82276
Position: x = 1.37291, y = -4.83054
Position: x = 1.35464, y = -4.83842
Position: x = 1.33632, y = -4.84646
Position: x = 1.31796, y = -4.85457
Position: x = 1.29974, y = -4.86257
Position: x = 1.2814, y = -4.87067
Position: x = 1.26312, y = -4.87868
Position: x = 1.24486, y = -4.88658
Position: x = 1.22646, y = -4.8945
Position: x = 1.20801, y = -4.9023
Position: x = 1.18943, y = -4.91002
Position: x = 1.1709, y = -4.91755
Position: x = 1.15225, y = -4.92487
Position: x = 1.1335, y = -4.93201
Position: x = 1.11455, y = -4.93903
Position: x = 1.09547, y = -4.94579
Position: x = 1.07644, y = -4.95224
Position: x = 1.05714, y = -4.95841
Position: x = 1.03784, y = -4.96424
Position: x = 1.01845, y = -4.96966
Position: x = 0.998832, y = -4.9747
Position: x = 0.979091, y = -4.97955
Position: x = 0.959181, y = -4.98403
Position: x = 0.939277, y = -4.98829
Position: x = 0.91916, y = -4.99221
Position: x = 0.899098, y = -4.99578
Position: x = 0.878771, y = -4.99859
Position: x = 0.858588, y = -5.00104
Position: x = 0.83824, y = -5.00274
Position: x = 0.817661, y = -5.00359
Position: x = 0.797154, y = -5.00383
Position: x = 0.776794, y = -5.00345
Position: x = 0.756342, y = -5.00235
Position: x = 0.736138, y = -5.0009
Position: x = 0.715799, y = -4.99863
Position: x = 0.695815, y = -4.99605
Position: x = 0.675758, y = -4.99269
Position: x = 0.655795, y = -4.98883
Position: x = 0.63604, y = -4.98458
Position: x = 0.616211, y = -4.97963
Position: x = 0.596731, y = -4.97439
Position: x = 0.577307, y = -4.9686
Position: x = 0.55807, y = -4.96246
Position: x = 0.53892, y = -4.95586
Position: x = 0.519886, y = -4.94882
Position: x = 0.501194, y = -4.9415
Position: x = 0.482582, y = -4.93381
Position: x = 0.464181, y = -4.92618
Position: x = 0.445721, y = -4.91834
Position: x = 0.427358, y = -4.91048
Position: x = 0.409006, y = -4.90249
Position: x = 0.390676, y = -4.8944
Position: x = 0.372464, y = -4.88634
Position: x = 0.354247, y = -4.87823
Position: x = 0.336093, y = -4.87018
Position: x = 0.317868, y = -4.86207
Position: x = 0.299668, y = -4.85405
Position: x = 0.281375, y = -4.84603
Position: x = 0.263071, y = -4.8381
Position: x = 0.244769, y = -4.83027
Position: x = 0.226385, y = -4.82246
Position: x = 0.208018, y = -4.81474
Position: x = 0.189655, y = -4.80709
Position: x = 0.171221, y = -4.79944
Position: x = 0.152842, y = -4.79193
Position: x = 0.134354, y = -4.78438
Position: x = 0.115919, y = -4.77691
Position: x = 0.0974566, y = -4.76943
Position: x = 0.0789193, y = -4.76188
Position: x = 0.0604683, y = -4.75444
Position: x = 0.0418677, y = -4.74686
Position: x = 0.02345, y = -4.73951
Position: x = 0.00492034, y = -4.73208
Position: x = -0.0136254, y = -4.72467
Position: x = -0.0321014, y = -4.71738
Position: x = -0.0507507, y = -4.70995
Position: x = -0.0692148, y = -4.70272
Position: x = -0.0877998, y = -4.69536
Position: x = -0.106316, y = -4.68807
Position: x = -0.124885, y = -4.68072
Position: x = -0.143535, y = -4.6733
Position: x = -0.162069, y = -4.66601
Position: x = -0.180721, y = -4.6586
Position: x = -0.199157, y = -4.65143
Position: x = -0.217751, y = -4.64411
Position: x = -0.236351, y = -4.63679
Position: x = -0.254856, y = -4.62955
Position: x = -0.273507, y = -4.62214
Position: x = -0.291983, y = -4.61489
Position: x = -0.310564, y = -4.60752
Position: x = -0.329171, y = -4.60009
Position: x = -0.34777, y = -4.5926
Position: x = -0.366345, y = -4.58505
Position: x = -0.384767, y = -4.57751
Position: x = -0.403272, y = -4.56973
Position: x = -0.421613, y = -4.5619
Position: x = -0.440017, y = -4.55376
Position: x = -0.458305, y = -4.54547
Position: x = -0.476494, y = -4.53695
Position: x = -0.494614, y = -4.52811
Position: x = -0.512465, y = -4.51927
Position: x = -0.530342, y = -4.51013
Position: x = -0.548057, y = -4.50088
Position: x = -0.565788, y = -4.49136
Position: x = -0.583314, y = -4.48178
Position: x = -0.600804, y = -4.47198
Position: x = -0.618097, y = -4.46218
Position: x = -0.635445, y = -4.45216
Position: x = -0.652562, y = -4.44223
Position: x = -0.669825, y = -4.43206
Position: x = -0.687004, y = -4.42193
Position: x = -0.704111, y = -4.41183
Position: x = -0.721205, y = -4.4017
Position: x = -0.738359, y = -4.39145
Position: x = -0.755447, y = -4.38121
Position: x = -0.772647, y = -4.37085
Position: x = -0.789725, y = -4.36064
Position: x = -0.806767, y = -4.35052
Position: x = -0.823894, y = -4.34043
Position: x = -0.841024, y = -4.33045
Position: x = -0.858287, y = -4.32052
Position: x = -0.875429, y = -4.3109
Position: x = -0.892807, y = -4.30128
Position: x = -0.910267, y = -4.29186
Position: x = -0.927751, y = -4.28272
Position: x = -0.945507, y = -4.27364
Position: x = -0.963195, y = -4.265
Position: x = -0.981096, y = -4.25656
Position: x = -0.999051, y = -4.2485
Position: x = -1.01715, y = -4.24077
Position: x = -1.03554, y = -4.23325
Position: x = -1.05396, y = -4.22623
Position: x = -1.07262, y = -4.21949
Position: x = -1.09132, y = -4.21322
Position: x = -1.1102, y = -4.20726
